crate	lint	api	reason
boxddd	inherent_method_missing	World::try_enable_wheel_joint_suspension	result_first_api
boxddd	inherent_method_missing	World::try_enable_wheel_joint_suspension_limit	result_first_api
boxddd	inherent_method_missing	World::try_explode	result_first_api
boxddd	inherent_method_missing	World::try_gravity	result_first_api
boxddd	inherent_method_missing	World::try_hit_event_threshold	result_first_api
boxddd	inherent_method_missing	World::try_joint_angular_separation	result_first_api
boxddd	inherent_method_missing	World::try_joint_body_a	result_first_api
boxddd	inherent_method_missing	World::try_joint_body_b	result_first_api
boxddd	inherent_method_missing	World::try_joint_collide_connected	result_first_api
boxddd	inherent_method_missing	World::try_joint_constraint_force	result_first_api
boxddd	inherent_method_missing	World::try_joint_constraint_torque	result_first_api
boxddd	inherent_method_missing	World::try_joint_constraint_tuning	result_first_api
boxddd	inherent_method_missing	World::try_joint_events	result_first_api
boxddd	inherent_method_missing	World::try_joint_events_into	result_first_api
boxddd	inherent_method_missing	World::try_joint_force_threshold	result_first_api
boxddd	inherent_method_missing	World::try_joint_linear_separation	result_first_api
boxddd	inherent_method_missing	World::try_joint_local_frame_a	result_first_api
boxddd	inherent_method_missing	World::try_joint_local_frame_b	result_first_api
boxddd	inherent_method_missing	World::try_joint_torque_threshold	result_first_api
boxddd	inherent_method_missing	World::try_joint_type	result_first_api
boxddd	inherent_method_missing	World::try_max_capacity	result_first_api
boxddd	inherent_method_missing	World::try_maximum_linear_speed	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_angular_damping_ratio	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_angular_hertz	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_angular_velocity	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_linear_damping_ratio	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_linear_hertz	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_linear_velocity	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_max_spring_force	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_max_spring_torque	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_max_velocity_force	result_first_api
boxddd	inherent_method_missing	World::try_motor_joint_max_velocity_torque	result_first_api
boxddd	inherent_method_missing	World::try_parallel_joint_max_torque	result_first_api
boxddd	inherent_method_missing	World::try_parallel_joint_spring_damping_ratio	result_first_api
boxddd	inherent_method_missing	World::try_parallel_joint_spring_hertz	result_first_api
